Date,Open,High,Low,Close,Volume
2016-03-28 08:00:00,427.34,427.99,422.38,424.06,9241.016499830115
2016-03-29 08:00:00,424.03,426.41,406.51,416,23306.73060021919
2016-03-30 08:00:00,415.87,416,408.58,413.12,9037.930675350062
2016-03-31 08:00:00,413.04,418.25,413.04,416.02,7268.31765999004
2016-04-01 08:00:00,416.34,417.9,414,417.9,5456.769438870039
2016-04-02 08:00:00,417.89,422.8,417.53,420.3,6070.788239340489
2016-04-03 08:00:00,420.31,421.82,416,420.6,4254.119948250001
2016-04-04 08:00:00,420.99,421.2,416.24,420.46,5751.293142379993
2016-04-05 08:00:00,420.46,425,419.61,423.75,7261.820826750031
2016-04-06 08:00:00,423.75,424.68,421.69,422.57,5680.193073060005
2016-04-07 08:00:00,422.52,422.86,417.78,422.28,7727.14024559007
2016-04-08 08:00:00,422.29,424.49,415.5,418.5,9847.578526090048
2016-04-09 08:00:00,418.23,418.76,412,418.47,6326.9734985500545
2016-04-10 08:00:00,418.48,422.9,417.49,421.32,4248.021756400046
2016-04-11 08:00:00,421.32,423.9,418.8,423.74,6404.839315099995
2016-04-12 08:00:00,423.75,430,423.56,426.59,14772.705072180124
2016-04-13 08:00:00,426.78,427.68,423,424.75,6666.45445863012
2016-04-14 08:00:00,424.77,426.49,424.01,426.01,4132.516662390005
2016-04-15 08:00:00,426.01,432.49,426.01,431.48,15836.344432850216
2016-04-16 08:00:00,431.06,435.67,430.47,432.04,7705.23014106003
2016-04-17 08:00:00,432.52,433.49,426.37,428.51,8483.817212520053
2016-04-18 08:00:00,428.51,430.91,426.52,430.03,7577.09982227003
2016-04-19 08:00:00,430.04,439,428.54,437.76,12049.763165290049
2016-04-20 08:00:00,437.81,446.61,436.6,443.85,21245.46997568007
2016-04-21 08:00:00,443.82,454.5,442.01,452.26,17836.128148700016
2016-04-22 08:00:00,452.01,453.15,444.51,447.8,12208.12421703018
2016-04-23 08:00:00,447.79,454.95,445.67,453.69,10158.088742180067
2016-04-24 08:00:00,453.41,464.99,450.18,463.02,24137.22663381975
2016-04-25 08:00:00,463.33,471.58,455,461.77,25926.485958799673
2016-04-26 08:00:00,461.77,471.99,461.77,468.14,18688.003558409855
2016-04-27 08:00:00,468.14,470.17,443,444.85,40283.22481065987
2016-04-28 08:00:00,445.14,450.83,435,450.46,25328.14705280998
2016-04-29 08:00:00,450.52,457.49,445.8,455.32,13419.029873500065
2016-04-30 08:00:00,455.33,455.98,445.01,446.6,10583.370061760057
2016-05-01 08:00:00,446.79,452.99,445.69,451.11,3901.3389434900114
2016-05-02 08:00:00,451.12,452.5,436,443.73,29738.73405786991
2016-05-03 08:00:00,443.99,452,440.1,450.39,12157.572085649996
2016-05-04 08:00:00,450.21,450.98,445.07,447.38,7045.363568920079
2016-05-05 08:00:00,447.22,451.68,445.51,448.4,10788.72696544013
2016-05-06 08:00:00,448.32,466,448,461.18,26539.51960950994
2016-05-07 08:00:00,461.36,463.05,458.3,460.2,7810.854923750086
2016-05-08 08:00:00,460.34,461.62,456.04,459.87,6454.871890500001
2016-05-09 08:00:00,459.88,465.4,457.8,461.56,15120.946761900035
2016-05-10 08:00:00,461.23,465,445.01,450.7,22571.93908791988
2016-05-11 08:00:00,450.7,454.68,450.01,452.28,8033.344469970036
2016-05-12 08:00:00,452.28,456.75,445.91,455.01,18088.011603890067
2016-05-13 08:00:00,455,457.66,452,455.76,7127.417904730105
2016-05-14 08:00:00,455.75,458.86,454,455.8,3608.8090293500304
2016-05-15 08:00:00,455.8,460.67,454.31,457.89,5644.052142610016
2016-05-16 08:00:00,457.95,458.95,451,453.01,8789.987837010107
2016-05-17 08:00:00,453,454.91,451,453.24,7609.409110390029
2016-05-18 08:00:00,452.71,457,451.53,453.52,7162.257039350016
2016-05-19 08:00:00,453.52,454.71,433,434.55,30396.81255852956
2016-05-20 08:00:00,434.99,443.14,433,441.57,14241.015744509989
2016-05-21 08:00:00,441.57,442.16,435.3,440.81,6222.709275549991
2016-05-22 08:00:00,440.88,441,435.1,437.48,7236.706016030031
2016-05-23 08:00:00,437.4,444.4,436.51,443.51,7873.12727328008
2016-05-24 08:00:00,443.53,447.85,442.39,445.03,8329.83371693006
2016-05-25 08:00:00,445,450.51,442.5,449.09,12353.392389210168
2016-05-26 08:00:00,449.09,454.8,446.01,453.95,9517.722138880103
2016-05-27 08:00:00,453.58,482.31,453.58,472.01,59125.7898882791
2016-05-28 08:00:00,472.01,543,471,526.02,74521.63290892969
2016-05-29 08:00:00,527,570,512.11,531,83566.13453409985
2016-05-30 08:00:00,529.97,548.5,521.11,532.89,32596.67572364909
2016-05-31 08:00:00,533.14,546.5,518,530.69,49880.61185946898
2016-06-01 08:00:00,530.69,546.12,523.75,536.79,27816.55857141994
2016-06-02 08:00:00,536.91,544,532.37,538.8,16882.36888075014
2016-06-03 08:00:00,538.9,579.94,535.65,570.87,48446.29176521974
2016-06-04 08:00:00,570.82,593.89,560.1,572.87,39118.52413868974
2016-06-05 08:00:00,573.08,586.47,564.64,574.02,28143.301081859623
2016-06-06 08:00:00,574.01,588.6,573.93,585.34,27464.29482303977
2016-06-07 08:00:00,585.59,592.08,561.3,576.88,36112.75303444942
2016-06-08 08:00:00,577.23,585.15,570.62,583.05,18084.176162129923
2016-06-09 08:00:00,583.26,584.05,569.97,575.52,21873.89242109001
2016-06-10 08:00:00,575.52,582.43,572.5,580.09,16178.042394170132
2016-06-11 08:00:00,580.08,615,579.29,614.51,28441.70390683962
2016-06-12 08:00:00,614.51,685,601.34,672,116432.04033077013
2016-06-13 08:00:00,671.98,719,658,705.87,117683.17615480241
